,Index,Label,Filename
0,0,85,image_0.png
1,1,68,image_1.png
2,2,32,image_2.png
3,3,49,image_3.png
4,4,93,image_4.png
5,5,70,image_5.png
6,6,46,image_6.png
7,7,67,image_7.png
8,8,70,image_8.png
9,9,11,image_9.png
10,10,60,image_10.png
11,11,22,image_11.png
12,12,19,image_12.png
13,13,73,image_13.png
14,14,98,image_14.png
15,15,73,image_15.png
16,16,66,image_16.png
17,17,68,image_17.png
18,18,44,image_18.png
19,19,68,image_19.png
20,20,48,image_20.png
21,21,64,image_21.png
22,22,65,image_22.png
23,23,72,image_23.png
24,24,49,image_24.png
25,25,91,image_25.png
26,26,97,image_26.png
27,27,10,image_27.png
28,28,88,image_28.png
29,29,33,image_29.png
30,30,58,image_30.png
31,31,91,image_31.png
32,32,15,image_32.png
33,33,81,image_33.png
34,34,51,image_34.png
35,35,63,image_35.png
36,36,10,image_36.png
37,37,84,image_37.png
38,38,24,image_38.png
39,39,39,image_39.png
40,40,49,image_40.png
41,41,96,image_41.png
42,42,26,image_42.png
43,43,92,image_43.png
44,44,59,image_44.png
45,45,14,image_45.png
46,46,17,image_46.png
47,47,92,image_47.png
48,48,80,image_48.png
49,49,24,image_49.png
50,50,54,image_50.png
51,51,66,image_51.png
52,52,19,image_52.png
53,53,45,image_53.png
54,54,55,image_54.png
55,55,63,image_55.png
56,56,54,image_56.png
57,57,99,image_57.png
58,58,26,image_58.png
59,59,45,image_59.png
60,60,18,image_60.png
61,61,84,image_61.png
62,62,35,image_62.png
63,63,32,image_63.png
64,64,14,image_64.png
65,65,42,image_65.png
66,66,75,image_66.png
67,67,41,image_67.png
68,68,96,image_68.png
69,69,24,image_69.png
70,70,47,image_70.png
71,71,79,image_71.png
72,72,83,image_72.png
73,73,45,image_73.png
74,74,15,image_74.png
75,75,94,image_75.png
76,76,20,image_76.png
77,77,37,image_77.png
78,78,77,image_78.png
79,79,48,image_79.png
80,80,22,image_80.png
81,81,21,image_81.png
82,82,83,image_82.png
83,83,90,image_83.png
84,84,90,image_84.png
85,85,29,image_85.png
86,86,90,image_86.png
87,87,70,image_87.png
88,88,27,image_88.png
89,89,77,image_89.png
90,90,63,image_90.png
91,91,62,image_91.png
92,92,12,image_92.png
93,93,59,image_93.png
94,94,51,image_94.png
95,95,50,image_95.png
96,96,82,image_96.png
97,97,12,image_97.png
98,98,34,image_98.png
99,99,71,image_99.png
100,100,80,image_100.png
101,101,16,image_101.png
102,102,21,image_102.png
103,103,32,image_103.png
104,104,23,image_104.png
105,105,75,image_105.png
106,106,10,image_106.png
107,107,10,image_107.png
108,108,97,image_108.png
109,109,52,image_109.png
110,110,32,image_110.png
111,111,64,image_111.png
112,112,46,image_112.png
113,113,27,image_113.png
114,114,50,image_114.png
115,115,80,image_115.png
116,116,31,image_116.png
117,117,66,image_117.png
118,118,46,image_118.png
119,119,31,image_119.png
120,120,73,image_120.png
121,121,86,image_121.png
